Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
06/26/2023,3341322,60,1314743,61,218393,66,185070,63,26823,92,962862,98,6516,40
06/27/2023,3744227,67,1391914,65,231738,70,209234,71,29246,100,969784,99,7633,47
06/28/2023,3634270,65,1305832,61,233457,70,207293,70,29092,99,988315,101,6762,42
06/29/2023,3653631,65,1307649,61,233625,70,200724,68,28876,99,1036568,105,6946,43
06/30/2023,3259767,58,1248822,58,219673,66,178064,60,28028,96,1043286,106,5817,36
07/01/2023,2239529,79,859295,64,120270,94,99597,64,17093,108,956890,103,2745,54
07/02/2023,1783757,76,668297,61,92780,89,74415,70,16717,101,832828,94,1988,56
07/03/2023,2662052,50,1117930,54,149641,47,128417,45,23795,84,860662,90,4718,34
07/04/2023,1791179,77,631937,58,96458,92,84010,79,13059,79,715453,81,2305,65
07/05/2023,3318379,63,1296583,63,211448,67,189434,67,28774,101,963342,100,6472,47
07/06/2023,3494806,66,1333630,64,209335,66,186822,66,29894,105,959636,100,6608,48
07/07/2023,3292266,62,1273900,61,197892,62,171597,61,28609,101,977009,102,5868,43
07/08/2023,2308794,82,867047,64,120931,95,107854,70,17879,113,949008,103,2695,53
07/09/2023,1776607,76,651953,59,95243,91,83783,79,16695,101,869686,98,1914,54
07/10/2023,3208730,61,1307297,63,196506,62,171497,61,27354,96,925569,96,6175,45
07/11/2023,3613670,68,1381701,67,221923,70,200151,71,30085,106,952112,99,7149,52
07/12/2023,3696737,70,1383484,67,218097,69,199169,70,31015,109,977898,102,6901,50
07/13/2023,3648007,69,1359302,66,218715,69,190952,67,29980,106,990761,103,6888,50
07/14/2023,3209393,61,1231624,59,198119,63,163840,58,28489,100,986748,103,5588,41
07/15/2023,2326054,82,889709,66,124007,97,107124,69,18043,114,983132,106,2409,47
07/16/2023,1599858,68,583645,53,89763,86,72406,68,16496,100,817659,92,1559,44
07/17/2023,3282092,62,1310810,63,205378,65,182216,64,27637,97,964710,100,6345,46
07/18/2023,3584819,68,1313665,63,225299,71,204203,72,29105,103,944208,98,6766,49
07/19/2023,3679343,70,1342781,65,224202,71,203857,72,30527,108,969944,101,6938,50
07/20/2023,3711017,70,1333607,64,224327,71,197400,70,29745,105,1004167,104,6858,50
07/21/2023,3227154,61,1211839,58,201177,64,176892,62,27485,97,1000836,104,5389,39
07/22/2023,2459990,87,894490,66,133328,104,93215,60,18283,115,1005606,109,2117,42
07/23/2023,1984503,85,723774,66,116485,111,94729,89,18021,109,988636,112,1511,42
07/24/2023,3255379,62,1302964,63,206025,65,180716,64,27222,96,948855,99,6175,45
07/25/2023,3630414,69,1307716,63,226651,72,211053,75,29285,103,939926,98,7050,51
07/26/2023,3758378,71,1382345,67,226363,71,210315,74,30501,108,977673,102,7298,53
07/27/2023,3580012,68,1313385,63,219460,69,187729,66,28692,101,973315,101,6788,49
07/28/2023,3266199,62,1246295,60,205845,65,170128,60,27522,97,1023958,107,5631,41
07/29/2023,2251524,80,856921,63,120457,94,100508,65,16747,105,957063,104,2314,45
07/30/2023,1952433,83,705279,64,116784,111,91861,87,17450,106,989071,112,2077,58
07/31/2023,3204920,61,1283835,62,205976,65,185348,65,26682,94,969712,101,6161,45
08/01/2023,3598379,70,1357252,67,221518,71,199547,73,29354,105,954649,98,7060,53
08/02/2023,3640307,71,1359233,67,219641,70,201003,74,30380,109,964978,99,6913,52
08/03/2023,3609076,70,1350472,67,220565,71,197044,72,30483,109,994978,102,6753,50
