name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2023-02-14,12.8,5.6,8.9,12.8,3.8,8.5,-4.5,39,0,0,0,,0,0,59,15.1,272,1016.5,0.4,16,169.3,14.7,7,10,2023-02-14T06:51:32,2023-02-14T17:29:30,0.81,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-15,17.8,7.3,12.2,17.8,6,11.9,1.9,50,0.23,100,4.17,rain,0,0,79.6,21.6,246.2,1017.4,10.9,16,100.5,8.5,5,10,2023-02-15T06:50:14,2023-02-15T17:30:42,0.84,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-16,16.9,10.9,13.6,16.9,10.9,13.6,6.4,63.1,1.271,100,16.67,rain,0,0,38.9,13.4,262.8,1014.9,35.7,15.9,74.2,6.4,4,10,2023-02-16T06:48:55,2023-02-16T17:31:55,0.88,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-17,16.1,1.1,10.6,16.1,-2,9.8,6.2,74.5,4.097,100,29.17,rain,0,0,57.6,21.1,265,1005.7,84.3,14.3,19.8,1.7,1,10,2023-02-17T06:47:35,2023-02-17T17:33:07,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-18,7.1,-1.7,2.6,4,-4.1,-0.4,-8.3,45.6,0.23,100,4.17,rain,0,0,71.3,18.4,262.4,1025.6,23.5,15.9,177.8,15.3,7,10,2023-02-18T06:46:14,2023-02-18T17:34:19,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-19,9.3,2.9,5.7,7.2,-0.5,3.4,-1.3,61.3,0,0,0,,0,0,55.4,37.1,209.4,1024.5,2.6,16,107.5,9.1,4,10,2023-02-19T06:44:52,2023-02-19T17:35:30,0.98,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-20,16.2,7.3,10.4,16.2,4.9,9.4,3.4,65.7,0,0,0,,0,0,35.3,22.4,271.3,1007.3,41.5,15.8,95.4,8.4,6,10,2023-02-20T06:43:28,2023-02-20T17:36:42,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-02-21,10.6,3.3,6.1,10.6,-1.5,4,1.7,74.6,2.028,100,33.33,rain,0,0,37.1,23.6,36.4,1005.1,73.2,15.8,47.1,4.1,3,10,2023-02-21T06:42:04,2023-02-21T17:37:52,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-22,6.2,3.3,4.7,6.1,-1.3,2.7,-2.4,62.1,2.58,100,16.67,rain,0,0,66.6,21.9,22.8,1018.4,57.7,15.8,50,4.1,3,10,2023-02-22T06:40:38,2023-02-22T17:39:03,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-02-23,6.2,3.8,4.7,3.8,-0.9,1.4,2.9,88.3,0.036,100,8.33,rain,0,0,33.5,23.9,56.1,1013.4,100,14.8,40,3.3,2,10,2023-02-23T06:39:12,2023-02-23T17:40:14,0.11,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
